"","Shrinkage","ntree","depths","errors"
"1",0.1,300,5,0.118707433764745
"2",0.05,250,1,0.140130704967251
"3",0.5,200,2,0.133620991093034
"4",0.05,200,2,0.128014141101218
"5",1,100,4,0.273135635859019
"6",0.5,100,5,0.147256993458969
"7",0.05,200,3,0.125167632371184
"8",0.05,100,2,0.150478112952244
"9",0.5,150,3,0.149182800544234
"10",0.05,300,3,0.121168735776129
"11",0.5,300,5,0.165108010076109
"12",0.001,250,3,0.331453258223494
"13",0.5,100,5,0.14206279990002
"14",1,100,5,0.369306544482936
"15",0.05,300,3,0.117112382956674
"16",0.01,300,2,0.173993988386174
"17",0.05,250,3,0.123940140818299
"18",0.001,100,5,0.356619121600306
"19",0.5,250,3,0.137647395849363
"20",0.5,250,3,0.147777023125244
"21",0.05,150,4,0.123589510506552
"22",0.01,300,4,0.150525990513431
"23",0.5,100,1,0.146799852720782
"24",0.01,250,5,0.154225285984872
"25",0.001,250,4,0.326827764695321
"26",1,200,2,0.179991864942599
"27",0.1,250,3,0.121345830453808
"28",0.01,100,4,0.231142927845181
"29",0.01,100,1,0.277348785284596
"30",0.001,300,4,0.317848348210965
